Date,Baseload in ct/kWh,MW Wind Onshore in ct/kwh,MW Wind Offshore in ct/kwh,Solar in ct/kwh
2023/01,11.783,8.726,9.65,12.291
2023/02,12.831,10.62,11.051,12.343
2023/03,10.252,8.515,8.955,8.883
2023/04,10.074,8.94,9.26,8.002
2023/05,8.172,8.095,8.058,5.356
2023/06,9.476,9.236,9.147,7.124
2023/07,7.761,5.445,6.051,5.173
2023/08,9.432,6.613,7.334,7.533
2023/09,10.072,8.566,8.874,7.447
2023/10,8.738,6.864,7.426,6.763
2023/11,9.112,7.653,7.915,8.525
2023/12,6.852,4.409,5.562,6.592
2022/01,16.773,12.883,14.476,17.838
2022/02,12.88,10.825,11.845,11.871
2022/03,25.201,19.766,20.701,20.712
2022/04,16.573,12.703,13.353,14.566
2022/05,17.748,13.242,14.024,15.132
2022/06,21.803,19.692,19.909,18.94
2022/07,31.5,27.824,28.687,26.093
2022/08,46.518,46.092,47.611,39.91
2022/09,34.612,28.238,29.358,31.673
2022/10,15.26,12.715,13.694,12.904
2022/11,17.363,13.718,14.414,15.374
2022/12,25.162,14.164,20.054,24.661
2021/01,5.282,4.645,4.816,5.543
2021/02,4.87,4.361,4.742,4.499
2021/03,4.716,3.395,3.892,4.105
2021/04,5.361,4.353,4.481,4.551
2021/05,5.335,4.134,3.944,4.187
2021/06,7.408,6.33,6.884,6.864
2021/07,8.137,6.808,7.252,7.409
2021/08,8.27,7.253,7.531,7.681
2021/09,12.837,11.754,12.25,11.715
2021/10,13.949,10.982,12.556,12.804
2021/11,17.615,14.056,15.649,18.307
2021/12,22.106,16.077,18.426,27.075
2020/01,3.503,3.091,3.321,3.831
2020/02,2.192,1.68,1.92,2.319
2020/03,2.249,1.773,1.81,1.618
2020/04,1.709,0.94,1.128,0.89
2020/05,1.76,1.214,1.247,1.413
2020/06,2.618,2.203,2.196,2.473
2020/07,3.006,2.035,2.265,2.623
2020/08,3.486,3.005,3.142,3.321
2020/09,4.369,3.785,3.758,3.981
2020/10,3.397,2.986,3.14,3.269
2020/11,3.879,3.199,3.454,3.998
2020/12,4.352,3.291,3.888,4.811
2019/01,4.939,3.833,4.298,5.906
2019/02,4.282,3.811,4.088,4.213
2019/03,3.063,2.423,2.672,3.075
2019/04,3.696,3.262,3.416,3.172
2019/05,3.784,3.564,3.559,3.53
2019/06,3.252,2.231,2.662,2.91
2019/07,3.969,3.641,3.644,3.917
2019/08,3.685,3.029,3.2,3.376
2019/09,3.575,3.064,3.317,3.345
2019/10,3.694,3.194,3.323,3.788
2019/11,4.1,3.709,3.835,4.383
2019/12,3.197,2.599,2.936,3.696
2018/01,2.946,2.177,2.468,3.44
2018/02,4.012,3.545,3.666,4.038
2018/03,3.736,2.949,3.181,3.698
2018/04,3.206,2.924,3.118,2.954
2018/05,3.354,2.757,3.17,3.186
2018/06,4.242,3.737,3.83,4.251
2018/07,4.954,4.686,4.757,4.9
2018/08,5.619,5.235,5.244,5.595
2018/09,5.483,4.805,5.051,5.21
2018/10,5.311,4.337,4.818,5.325
2018/11,5.668,5.214,5.379,5.976
2018/12,4.813,3.94,4.378,5.612
2017/01,5.237,4.066,4.484,5.697
2017/02,3.97,3.293,3.769,4.156
2017/03,3.17,2.872,3.044,3.077
2017/04,2.887,2.36,2.496,2.523
2017/05,3.046,2.621,2.792,2.984
2017/06,3,2.549,2.604,2.943
2017/07,3.301,2.892,2.977,3.23
2017/08,3.085,2.721,2.708,3.021
2017/09,3.435,2.765,3.043,3.554
2017/10,2.825,1.872,2.587,2.912
2017/11,4.037,3.088,3.254,4.297
2017/12,3.077,2.192,2.47,3.299
2016/01,2.904,2.407,2.637,3.224
2016/02,2.199,1.831,1.961,2.405
2016/03,2.431,2.106,2.138,2.314
2016/04,2.421,2.325,2.34,2.344
2016/05,2.254,1.8,2.009,1.887
2016/06,2.769,2.672,2.687,2.821
2016/07,2.719,2.391,2.408,2.67
2016/08,2.718,2.533,2.537,2.616
2016/09,3.049,2.748,2.806,2.978
2016/10,3.713,3.403,3.57,3.763
2016/11,3.822,3.266,3.455,4.046
2016/12,3.748,2.403,3.111,4.352
2015/01,2.872,2.2,2.525,3.218
2015/02,3.672,3.163,3.351,3.678
2015/03,3.134,2.527,2.802,3.059
2015/04,2.972,2.536,2.817,2.64
2015/05,2.536,2.268,2.4,2.511
2015/06,3.006,2.792,2.859,3.045
2015/07,3.5,2.926,3.097,3.536
2015/08,3.161,2.959,3.016,3.067
2015/09,3.188,2.765,3.012,3.147
2015/10,3.936,3.656,3.825,3.751
2015/11,3.239,2.671,3,3.491
2015/12,2.778,2.358,2.585,2.91
2014/01,3.587,3.066,3.606,3.872
2014/02,3.359,2.925,3.2,3.311
2014/03,3.105,2.324,2.638,2.902
2014/04,3.158,2.703,2.819,3.096
2014/05,3.063,2.713,2.912,3.039
2014/06,3.152,2.907,2.914,3.258
2014/07,3.188,3.115,3.132,3.311
2014/08,2.793,2.264,2.52,2.749
2014/09,3.479,3.379,3.41,3.618
2014/10,3.523,3.066,3.275,3.572
2014/11,3.637,3.273,3.397,3.72
2014/12,3.289,2.433,2.95,3.553
2013/01,4.331,3.519,3.974,4.775
2013/02,4.462,3.872,4.184,4.906
2013/03,3.911,3.208,3.558,3.578
2013/04,3.792,3.664,3.83,3.66
2013/05,3.206,3.069,3.099,3.347
2013/06,2.782,2.345,2.502,2.842
2013/07,3.642,3.41,3.519,3.743
2013/08,3.823,3.455,3.393,3.999
2013/09,4.171,3.709,3.68,4.376
2013/10,3.768,3.191,3.748,3.75
2013/11,3.922,3.269,3.701,4.203
2013/12,3.575,2.638,3.144,4.05
