Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2018-01-01T00:00+01:00,5855.88,12957.92,39134.42,-5.27
2018-01-01T01:00+01:00,4755.61,12976.09,40168.32,-29.99
2018-01-01T02:00+01:00,4592.56,12928.4,40748.22,-56.65
2018-01-01T03:00+01:00,4890.45,12859.89,41611.14,-63.14
2018-01-01T04:00+01:00,4697.83,12882.64,41716.91,-64.62
2018-01-01T05:00+01:00,4832.49,12907.52,42305.27,-67
2018-01-01T06:00+01:00,4764.32,12731.74,41700.23,-72.54
2018-01-01T07:00+01:00,4640.66,12518.57,41100.74,-76.01
2018-01-01T08:00+01:00,4617.61,12176.5,40970.49,-71.45
2018-01-01T09:00+01:00,4659.11,12370.06,42952.4,-66.88
2018-01-01T10:00+01:00,4858.75,12510.96,46518.74,-62
2018-01-01T11:00+01:00,4827.88,12578.33,49245.73,-56.08
2018-01-01T12:00+01:00,5140.22,12381.86,49130.02,-49.96
2018-01-01T13:00+01:00,6299.88,12432.01,46144.78,-24.29
2018-01-01T14:00+01:00,7287.96,12454.33,40720.71,-5.59
2018-01-01T15:00+01:00,7968.65,13197.49,35906.08,0.23
2018-01-01T16:00+01:00,8597.5,15796.09,31488.89,11.02
2018-01-01T17:00+01:00,8908.04,17636.59,29993.69,23.5
2018-01-01T18:00+01:00,9022.39,18324.08,29045,22.91
2018-01-01T19:00+01:00,9092.35,18905.53,28552.78,21.02
2018-01-01T20:00+01:00,9107.3,19641.19,27392.51,21.05
2018-01-01T21:00+01:00,9115.06,20144.11,26856.36,21.95
2018-01-01T22:00+01:00,9113.59,20563.81,26277.24,23.52
2018-01-01T23:00+01:00,9131.6,20353.93,25571.64,18.96
2018-01-02T00:00+01:00,9029.08,19850.76,24772.1,18.12
2018-01-02T01:00+01:00,9043.88,18690.86,24604.67,14.99
2018-01-02T02:00+01:00,9112.62,18009.59,23956.41,13.63
2018-01-02T03:00+01:00,9181.12,17415.55,23991.25,12.15
2018-01-02T04:00+01:00,9163.77,18906.93,24773.05,11.83
2018-01-02T05:00+01:00,9191.01,20851.89,25251.91,14.55
2018-01-02T06:00+01:00,9201.63,24122.75,26148.63,22.58
2018-01-02T07:00+01:00,9280.57,26457.35,26576.67,41.92
2018-01-02T08:00+01:00,9325.38,28091.02,26444.72,47.95
2018-01-02T09:00+01:00,9348.68,29703.66,26912.11,49.9
2018-01-02T10:00+01:00,9348.41,30157.03,27598.95,50
2018-01-02T11:00+01:00,9346.1,30642.14,29050.19,49.7
2018-01-02T12:00+01:00,9305.61,30581.97,30621.29,48.16
2018-01-02T13:00+01:00,9296.68,30937.88,29580.06,47.24
2018-01-02T14:00+01:00,9300.74,31291.35,26836.88,46.1
2018-01-02T15:00+01:00,9294.29,31654.79,24776.87,43.86
2018-01-02T16:00+01:00,9225.19,31586.47,24762.76,43.64
2018-01-02T17:00+01:00,9295.16,32005.22,26107.55,47.37
2018-01-02T18:00+01:00,9215.55,31791.24,27756.69,46.08
2018-01-02T19:00+01:00,9065.57,30407.92,29732.64,41.08
2018-01-02T20:00+01:00,9106.48,27584.87,31327.14,34.94
2018-01-02T21:00+01:00,9189.75,24968.69,32677.97,25.46
2018-01-02T22:00+01:00,9186.33,21618.29,34075.98,21.3
2018-01-02T23:00+01:00,8860.04,18438.01,36267.54,9.94
2018-01-03T00:00+01:00,7984.11,15978.57,38461.61,7.93
2018-01-03T01:00+01:00,6434.22,15096.12,40348.37,0.03
2018-01-03T02:00+01:00,5927.78,14949.6,41832.23,0.02
2018-01-03T03:00+01:00,5597.33,14737.73,43998.6,-5.99
2018-01-03T04:00+01:00,5607.45,14647.92,45684.12,-9.21
2018-01-03T05:00+01:00,6167.68,14938.21,45902.14,-4.64
2018-01-03T06:00+01:00,7333.77,16211.13,47109.6,8.02
2018-01-03T07:00+01:00,8363.12,17954.53,46697.06,11.03
2018-01-03T08:00+01:00,8551.14,18901.6,46884.81,13.28
2018-01-03T09:00+01:00,8797.95,19942.46,46560.82,13.18
2018-01-03T10:00+01:00,8896.44,21987.76,46930.26,13.71
2018-01-03T11:00+01:00,8902.98,22413.06,47969,15.42
2018-01-03T12:00+01:00,8922.55,22049.71,48275.87,15.84
2018-01-03T13:00+01:00,8972.95,22199.56,47802.52,16
2018-01-03T14:00+01:00,9008.31,22242.13,47436.83,15.75
2018-01-03T15:00+01:00,9007.44,22117.51,46672.79,15.14
2018-01-03T16:00+01:00,8951.55,22212.27,46655.78,16
2018-01-03T17:00+01:00,9028.2,22389.15,48364.06,15.11
2018-01-03T18:00+01:00,9045.41,22118.84,49433.81,13.37
2018-01-03T19:00+01:00,9041.72,19881.6,49637.32,11.06
2018-01-03T20:00+01:00,8962.92,17549.12,49656.4,10.06
2018-01-03T21:00+01:00,8781.41,16336.91,49918.82,9.3
2018-01-03T22:00+01:00,8825.14,16007.7,48634.71,9.87
2018-01-03T23:00+01:00,8867.92,15723.27,48078.64,4.97
2018-01-04T00:00+01:00,8176.29,15854.55,47356.29,-0.36
2018-01-04T01:00+01:00,7909.31,15763.59,46591.64,-5.57
2018-01-04T02:00+01:00,8122.87,15525.82,45497.62,-7.85
2018-01-04T03:00+01:00,8159.21,15719.03,44330.74,-5.29
2018-01-04T04:00+01:00,8596.59,16226.62,42220.61,-1.75
2018-01-04T05:00+01:00,9151.39,18013.72,39838.67,6.01
2018-01-04T06:00+01:00,9178.42,22018.68,37875.07,19.96
2018-01-04T07:00+01:00,9102.18,26579.2,35617.2,33.59
2018-01-04T08:00+01:00,9208.03,29391.77,33172.65,40.45
2018-01-04T09:00+01:00,9226.05,31504.54,31242.47,41.97
2018-01-04T10:00+01:00,9244.42,33132.89,29867.73,44.91
2018-01-04T11:00+01:00,9250.26,33647.66,28867.96,48.22
2018-01-04T12:00+01:00,9251.05,33623.85,27424.78,46.04
2018-01-04T13:00+01:00,9265.02,33573.8,25273.57,42
2018-01-04T14:00+01:00,9301.05,33576.84,23158.71,41.08
2018-01-04T15:00+01:00,9359.46,33989.51,21584.85,42.04
2018-01-04T16:00+01:00,9378.98,34053.48,22229.72,42.53
2018-01-04T17:00+01:00,9365.54,34249.62,23942.97,51.43
2018-01-04T18:00+01:00,9338.05,34389.84,25838.78,49.96
2018-01-04T19:00+01:00,9298.08,33862.98,27853.95,46.73
2018-01-04T20:00+01:00,9315.74,30601.5,30573.24,41.57
2018-01-04T21:00+01:00,9324.26,28065.16,32767.21,37.09
2018-01-04T22:00+01:00,9283.73,26608.87,34668.75,33.92
2018-01-04T23:00+01:00,9004.33,23884.33,37501.9,28.05
